------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.129,          1931.082643
              0.1295,           2001.15894
                0.13,          1871.938851
              0.1305,           1681.34064
               0.131,          1680.075732
              0.1315,          1503.062138
               0.132,          1602.344094
              0.1325,          1590.419869
               0.133,           1659.24661
              0.1335,          1732.149839
               0.134,           1958.54874
              0.1345,          1904.406978
               0.135,           1973.03702
              0.1355,          2075.475408
               0.136,          2066.624268
              0.1365,            2006.5095
               0.137,          1963.472066
              0.1375,          1990.025322
               0.138,          1927.342613
              0.1385,          2090.558551
               0.139,          2172.528232
              0.1395,            2199.3017
                0.14,          2262.353181
              0.1405,          2438.596209
               0.141,          2525.741691
              0.1415,          2542.206611
               0.142,          2381.094973
              0.1425,          2158.830713
               0.143,          2126.914663
              0.1435,          2124.806684
               0.144,          2231.898917
              0.1445,          2396.067232
               0.145,          2275.566792
              0.1455,          2321.234884
               0.146,          2219.847774
              0.1465,          2285.695285
               0.147,          2197.657359
              0.1475,          2196.890996
               0.148,          2209.945253
              0.1485,          2402.278424
               0.149,          2150.401142
              0.1495,          2069.777901
                0.15,          2013.033993
              0.1505,          2110.900314
               0.151,          2043.251314
              0.1515,          2053.860375
               0.152,          2106.958835
              0.1525,          2112.309917
               0.153,          2127.759092
              0.1535,          2018.709981
               0.154,          1963.441785
              0.1545,          1870.482954
               0.155,          1826.294337
              0.1555,          1798.330355
               0.156,           1928.52014
              0.1565,          1954.146702
               0.157,          1869.661195
              0.1575,           1958.91801
               0.158,           1954.75793
              0.1585,          1890.990717
               0.159,          1898.620599
              0.1595,          2011.339212
                0.16,          1855.543048
              0.1605,          1803.191594
               0.161,           1770.47121
              0.1615,          1691.905228
               0.162,          1471.633729
              0.1625,          1366.863708
               0.163,          1321.436036
              0.1635,           1340.46062
               0.164,          1329.951084
              0.1645,          1439.709786
               0.165,          1461.872512
              0.1655,          1365.957603
               0.166,          1351.784923
              0.1665,          1272.578629
               0.167,          1337.182553
              0.1675,          1372.458211
               0.168,          1435.939669
              0.1685,          1607.807927
               0.169,          1587.133798
              0.1695,          1399.709634
                0.17,          1659.132715
              0.1705,          1621.107375
               0.171,          1888.257998
              0.1715,          1915.416254
               0.172,          1844.045805
              0.1725,          1789.116148
               0.173,           1870.37904
              0.1735,          1817.612363
               0.174,           1720.91686
              0.1745,          1576.927515
               0.175,           1709.95086
              0.1755,          1807.366838
               0.176,          1794.521265
              0.1765,          1785.304141
               0.177,          1706.266559
              0.1775,          1744.733991
               0.178,          1779.016424
              0.1785,          1773.444633
               0.179,          1682.878729
              0.1795,          1543.284053
                0.18,          1474.420312
              0.1805,          1386.864947
               0.181,          1367.404773
              0.1815,          1343.063106
               0.182,          1493.788522
              0.1825,          1483.974347
               0.183,          1542.908677
              0.1835,          1600.271379
               0.184,          1575.306575
              0.1845,          1640.142631
               0.185,          1595.802219
              0.1855,          1894.394387
               0.186,          2023.868069
              0.1865,          1808.039793
               0.187,          1674.328176
              0.1875,          1688.406698
               0.188,          1713.101411
              0.1885,          1683.452055
               0.189,          1724.661176
              0.1895,          1712.924906
                0.19,          1562.289844
              0.1905,          1586.804784
               0.191,          1533.848847
              0.1915,          1842.353784
               0.192,          2011.121611
              0.1925,          1823.422951
               0.193,          1672.768609
              0.1935,          1661.886766
               0.194,          1873.955033
              0.1945,          2078.527308
               0.195,          2104.092523
              0.1955,          2213.948064
               0.196,            2262.4208
              0.1965,          2232.380602
               0.197,          2196.000464
              0.1975,          2185.080966
               0.198,          2100.640073
              0.1985,          2122.142637
               0.199,          2088.502178
              0.1995,           1944.66205
                 0.2,          2015.602944
              0.2005,          1922.836528
               0.201,          1950.213741
              0.2015,          1994.412045
               0.202,          1940.384116
              0.2025,          1732.869296
               0.203,          1647.396663
              0.2035,          1696.740753
               0.204,          1756.937857
              0.2045,           1844.01207
               0.205,          1861.102602
              0.2055,          1770.717579
               0.206,          1827.285902
              0.2065,          1706.580255
               0.207,          1643.533645
              0.2075,          1559.689915
               0.208,           1626.00858
              0.2085,          1551.748088
               0.209,          1452.549753
              0.2095,          1668.871446
                0.21,          1630.426368
              0.2105,          1712.883119
               0.211,          1780.094249
              0.2115,          1748.317218
               0.212,          1745.265926
              0.2125,          1647.281197
               0.213,          1468.790758
              0.2135,          1572.354134
               0.214,          1695.441573
              0.2145,          1783.350122
               0.215,          1849.655836
              0.2155,          1781.785349
               0.216,          1757.146346
              0.2165,          1891.105916
               0.217,           1817.34428
              0.2175,          1774.832761
               0.218,          1660.425767
              0.2185,          1655.608725
               0.219,          1676.699464
              0.2195,          1643.098728
                0.22,           1811.78024
              0.2205,          1863.048481
               0.221,          1718.783382
              0.2215,          1894.024379
               0.222,          1983.581643
              0.2225,          2012.952238
               0.223,          2187.440705
              0.2235,          2101.440228
               0.224,          2310.178262
              0.2245,          2238.721392
               0.225,          2293.927199
              0.2255,          2571.130037
               0.226,           2597.31116
              0.2265,          2659.753366
               0.227,          2759.100742
              0.2275,          2589.556787
               0.228,          2656.562172
              0.2285,          2887.920811
               0.229,          2986.829083
              0.2295,          3017.990846
                0.23,          3012.003047
              0.2305,          2968.668095
               0.231,          2964.433942
              0.2315,          2951.478009
               0.232,          2997.657638
              0.2325,          3120.082843
               0.233,          3022.501489
              0.2335,           3095.34619
               0.234,          3024.625945
              0.2345,          3001.381855
               0.235,          2916.246606
              0.2355,          3037.345056
               0.236,          3107.508148
              0.2365,          3077.874029
               0.237,          3125.076297
              0.2375,          3156.803683
               0.238,           3198.58604
              0.2385,          3129.233263
               0.239,          3059.091555
              0.2395,          3142.435748
                0.24,          3252.891053
              0.2405,          3405.859085
               0.241,          3362.375593
              0.2415,          3305.559582
               0.242,          3395.340497
              0.2425,           3359.67249
               0.243,          3604.465436
              0.2435,          3530.794458
               0.244,          3430.258322
              0.2445,           3558.34341
               0.245,          3513.177869
              0.2455,          3486.734591
               0.246,          3538.470513
              0.2465,           3518.85249
               0.247,          3692.799912
              0.2475,          3848.510997
               0.248,            3990.9012
              0.2485,          4028.383457
               0.249,           3963.05124
              0.2495,          4067.241756
                0.25,          4143.134853
              0.2505,           4226.29021
               0.251,          4088.451703
              0.2515,          3982.715835
               0.252,          4038.925714
              0.2525,          4052.644562
               0.253,          4061.442091
              0.2535,          4013.235526
               0.254,          3995.721216
              0.2545,          3908.138996
               0.255,            3951.5071
              0.2555,          3955.647283
               0.256,          3882.752384
              0.2565,          3936.054616
               0.257,          3973.985971
              0.2575,          3862.226415
               0.258,          3820.288376
              0.2585,          3692.789013
               0.259,          3723.384852
              0.2595,          3898.927611
                0.26,          3860.526384
              0.2605,          3715.272143
               0.261,          3773.279242
              0.2615,          3897.436046
               0.262,          3894.435166
              0.2625,          3809.216706
               0.263,          3760.070894
              0.2635,          3699.156689
               0.264,          3784.744657
              0.2645,          3878.492317
               0.265,          3904.117578
              0.2655,          3889.902999
               0.266,          3822.464382
              0.2665,          3735.461498
               0.267,          3902.402593
              0.2675,          3947.920528
               0.268,          3975.432113
              0.2685,          3961.172574
               0.269,          4010.579491
              0.2695,          4115.031011
                0.27,          4190.816315
              0.2705,          4193.017529
               0.271,           4184.61455
              0.2715,          4116.601315
               0.272,          4025.437061
              0.2725,          4011.258097
               0.273,          4083.196099
              0.2735,          3996.493749
               0.274,          3952.143243
              0.2745,          3929.707186
               0.275,          3988.255072
              0.2755,          4095.482334
               0.276,          4237.626187
              0.2765,          4200.568313
               0.277,          4274.936229
              0.2775,          4265.250392
               0.278,            4326.7396
              0.2785,          4360.220657
               0.279,          4302.865453
              0.2795,          4507.687338
                0.28,          4410.323982
              0.2805,          4413.211915
               0.281,          4355.440804
              0.2815,           4339.30081
               0.282,          4286.627027
              0.2825,          4354.856627
               0.283,          4340.946818
              0.2835,          4338.120675
               0.284,          4393.371503
              0.2845,          4327.911839
               0.285,          4140.765533
              0.2855,          4044.885204
               0.286,          3983.026235
              0.2865,          3996.881793
               0.287,          3821.850689
              0.2875,          3722.867851
               0.288,           3775.24148
              0.2885,          3911.379626
               0.289,          3913.991785
              0.2895,          3968.957754
                0.29,          3873.081515
              0.2905,          3805.423181
               0.291,          3827.172926
              0.2915,          3828.233712
               0.292,          3722.499875
              0.2925,           3734.57665
               0.293,          3674.407722
              0.2935,          3550.177818
               0.294,          3621.960227
              0.2945,          3606.066684
               0.295,          3448.301277
              0.2955,          3345.536366
               0.296,          3360.005829
              0.2965,          3358.412325
               0.297,           3483.69679
              0.2975,          3532.884645
               0.298,          3585.407542
              0.2985,          3458.392913
               0.299,          3471.842936
              0.2995,          3371.222963
                 0.3,          3317.165501
              0.3005,          3214.040503
               0.301,          3197.345604
              0.3015,          3140.259114
               0.302,          3079.519175
              0.3025,          3048.602685
               0.303,           3234.98512
              0.3035,          3118.401171
               0.304,          3212.124562
              0.3045,           3229.95357
               0.305,           3406.13037
              0.3055,          3524.811794
               0.306,          3691.894575
              0.3065,           3679.25882
               0.307,          3589.154085
              0.3075,            3807.2777
               0.308,          3874.125496
              0.3085,          3959.344763
               0.309,          4015.781882
              0.3095,          4157.707945
                0.31,           4184.46416
              0.3105,          4090.129765
               0.311,          4106.044015
              0.3115,          4142.979541
               0.312,          4014.323167
              0.3125,          4005.588698
               0.313,          3991.460503
              0.3135,          4070.361659
               0.314,          3981.408572
              0.3145,           3737.02927
               0.315,          3582.049584
              0.3155,          3592.733019
               0.316,          3513.426037
              0.3165,           3469.89019
               0.317,          3386.870949
              0.3175,          3287.735258
               0.318,            3353.3277
              0.3185,          3398.584125
