------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.262,         10284.887901
               0.263,         10225.703299
               0.264,         10281.728201
               0.265,         10257.402531
               0.266,         10338.615712
               0.267,         10468.115801
               0.268,         10412.168797
               0.269,         10338.951418
                0.27,         10277.609017
               0.271,         10361.037546
               0.272,         10248.822023
               0.273,          10359.27579
               0.274,         10264.763741
               0.275,         10095.927392
               0.276,         10056.708984
               0.277,         10065.968056
               0.278,          10099.66374
               0.279,          9965.832485
                0.28,          9723.750999
               0.281,          9525.536688
               0.282,          9543.860365
               0.283,          9500.393596
               0.284,          9403.558964
               0.285,          9266.899569
               0.286,          9208.808857
               0.287,          9093.602436
               0.288,          8982.098315
               0.289,          8908.895398
                0.29,          9230.592298
               0.291,          9266.671144
               0.292,          9376.074826
               0.293,           9504.47815
               0.294,          9478.941158
               0.295,          9648.692421
               0.296,          9659.633276
               0.297,          9766.320325
               0.298,          9745.940544
               0.299,           9799.25199
                 0.3,          9827.106944
               0.301,          9723.145571
               0.302,          9821.371564
               0.303,          9769.069043
               0.304,          9555.177432
               0.305,          9495.634191
               0.306,           9813.18491
               0.307,          9843.543053
               0.308,          9557.126211
               0.309,          9708.738844
                0.31,          9865.120226
               0.311,         10146.573396
               0.312,         10217.357039
               0.313,         10267.890995
               0.314,         10124.906161
               0.315,         10105.569112
               0.316,         10089.432058
               0.317,          10117.81931
               0.318,         10115.407514
               0.319,         10284.049901
                0.32,         10522.846357
               0.321,         10327.915826
               0.322,         10344.434254
               0.323,         10251.492985
               0.324,         10358.409656
               0.325,         10564.806918
               0.326,         10581.129501
               0.327,         10529.648946
               0.328,         10593.063235
               0.329,         10758.556042
                0.33,          10870.59613
               0.331,         10893.911596
               0.332,         10687.495226
               0.333,         10713.857009
               0.334,         10658.903846
               0.335,          10560.06769
               0.336,          10541.21577
               0.337,         10639.803005
               0.338,          10874.87179
               0.339,         10784.866472
                0.34,         10737.867587
               0.341,         10854.935113
               0.342,         11076.044358
               0.343,         11088.149023
               0.344,          10979.46885
               0.345,         10802.888096
               0.346,         10747.936867
               0.347,         10427.180573
               0.348,         10430.201111
               0.349,         10697.707594
                0.35,         10786.804847
               0.351,         10774.435027
               0.352,         10934.033222
               0.353,         11045.471772
               0.354,         11014.594015
               0.355,         11105.221443
               0.356,         11068.046674
               0.357,         11030.730734
               0.358,         11155.028536
               0.359,         11380.335994
                0.36,         11333.916398
               0.361,         11378.221434
               0.362,         11255.842441
               0.363,         11424.793737
               0.364,         11660.657192
               0.365,         11687.509148
               0.366,         11844.723488
               0.367,         12129.426208
               0.368,         12272.740903
               0.369,         12112.271545
                0.37,         12141.160228
               0.371,         12243.113807
               0.372,         12229.914011
               0.373,         12259.865476
               0.374,         12125.383561
               0.375,          12160.41889
               0.376,         12116.297367
               0.377,          12032.30912
               0.378,         11942.305393
               0.379,         12090.288191
                0.38,         12248.541996
               0.381,         12251.585953
               0.382,         12091.129119
               0.383,         12326.283715
               0.384,         12220.967124
               0.385,         12483.554242
               0.386,         12469.001188
               0.387,         12648.009035
               0.388,         12514.865388
               0.389,         12456.081444
                0.39,         12541.300598
               0.391,         12581.036444
               0.392,         12764.266316
               0.393,         12562.481278
               0.394,         12547.029164
               0.395,         12417.310726
               0.396,         12194.870091
               0.397,         12221.893482
               0.398,         12275.232193
               0.399,         12176.598814
                 0.4,         12167.952942
               0.401,         12173.985513
               0.402,         12411.676111
               0.403,         12249.803491
               0.404,         12333.267298
               0.405,         12407.692605
               0.406,         12407.820822
               0.407,          12355.52233
               0.408,         12308.811184
               0.409,         12239.032047
                0.41,         12237.932857
               0.411,         12589.208607
               0.412,         12459.227235
               0.413,          12132.55422
               0.414,         12291.863417
               0.415,         12491.852576
               0.416,         12858.589765
               0.417,         12976.686438
               0.418,         13152.885163
               0.419,         13156.484407
                0.42,         13034.872405
               0.421,         13107.256601
               0.422,         13151.709317
               0.423,         13205.568752
               0.424,         13387.915435
               0.425,         13581.397919
               0.426,         13516.901869
               0.427,         13511.560233
               0.428,         13503.662216
               0.429,         13272.712407
                0.43,         13071.856137
               0.431,         12871.289013
               0.432,         13053.157751
               0.433,         13007.765095
               0.434,         12857.946053
               0.435,         12889.595883
               0.436,         12799.296563
               0.437,         12540.096724
               0.438,         12671.999427
               0.439,         13021.399268
                0.44,         13005.863546
               0.441,         12890.072384
               0.442,         13060.465328
               0.443,         12968.522036
               0.444,          12878.27762
               0.445,         12678.332986
               0.446,         12453.827333
               0.447,         12537.398978
               0.448,         12441.387801
               0.449,         12343.618988
                0.45,         12492.430088
               0.451,         12561.892615
               0.452,         12525.664686
               0.453,          12554.36859
               0.454,          12446.88558
               0.455,          12611.06678
               0.456,         12517.354935
               0.457,         12679.638465
               0.458,         12662.027663
               0.459,         12921.220124
                0.46,         12904.887532
               0.461,         12801.237021
               0.462,         12687.941186
               0.463,         12904.276226
               0.464,         12768.968983
               0.465,          12894.24982
               0.466,         12852.955779
               0.467,         13094.094397
               0.468,         12914.752827
               0.469,         13064.630142
                0.47,         13285.853887
               0.471,         13360.294912
               0.472,         13350.875704
               0.473,         13721.984199
               0.474,         13950.337147
               0.475,         13920.959913
               0.476,         13925.732741
               0.477,         13898.874313
               0.478,         14131.279077
               0.479,         14137.038956
                0.48,          14315.30768
               0.481,         14381.898562
               0.482,         14380.636723
               0.483,         14201.224057
               0.484,         14099.913998
               0.485,         14107.026038
               0.486,           14055.6295
               0.487,         13905.279307
               0.488,         13959.004143
               0.489,         14156.506303
                0.49,         14196.200008
               0.491,         14186.222303
               0.492,         14185.983837
               0.493,         13952.142745
               0.494,         13886.428392
               0.495,         14065.430654
               0.496,         13839.937113
               0.497,         13835.369487
               0.498,         13725.009396
               0.499,          13566.67842
                 0.5,         13386.875038
               0.501,         13211.759257
               0.502,         13274.364889
               0.503,         13157.008435
               0.504,         13282.774547
               0.505,         13409.555111
               0.506,         13177.452061
               0.507,          13231.52358
               0.508,         13131.364121
               0.509,         13386.840211
                0.51,         13145.719387
               0.511,         13094.505188
               0.512,         13282.379081
               0.513,         13238.309233
               0.514,          13447.47341
               0.515,         13533.179768
               0.516,         13626.647853
               0.517,         13568.039741
               0.518,         13716.544351
               0.519,         13710.867909
                0.52,         13541.740524
               0.521,         13613.028453
               0.522,         13588.719674
               0.523,         13581.083589
               0.524,         13407.878437
               0.525,         13328.279007
               0.526,         13512.940871
               0.527,         13430.520429
               0.528,         13534.188672
               0.529,         13534.097758
                0.53,         13471.974299
               0.531,          13533.87016
               0.532,         13280.155372
               0.533,         13369.528149
               0.534,         13564.923385
               0.535,         13454.641476
               0.536,         13574.653563
               0.537,         13999.947682
               0.538,         13897.382385
               0.539,         13950.619881
                0.54,         13930.783655
               0.541,         13833.213328
               0.542,         13870.144967
               0.543,         13934.466638
               0.544,         14035.229948
               0.545,         14025.353073
               0.546,         14058.025085
               0.547,         14220.187871
               0.548,          14241.20936
               0.549,         14275.928202
                0.55,         14403.103761
               0.551,         14375.086411
               0.552,         14380.025802
               0.553,         14496.554261
               0.554,         14688.528347
               0.555,         14831.114736
               0.556,          14848.48853
               0.557,         14845.905086
               0.558,         15064.277868
               0.559,         14965.921322
                0.56,         14809.740198
               0.561,         14722.033627
               0.562,         14682.967889
               0.563,         14745.611377
               0.564,         14724.458895
