#------------------------------------------------------------
# Velocity Vs Time
#------------------------------------------------------------
#Time (ps), Velocity (m/s)
                 2.6,          5431.542125
                2.61,           4969.77657
                2.62,          5144.747282
                2.63,          5619.616149
                2.64,          4952.207977
                2.65,          5206.145237
                2.66,          5528.977835
                2.67,          5643.397693
                2.68,          5410.435417
                2.69,          5217.518954
                 2.7,           5827.19288
                2.71,          5303.804952
                2.72,          4828.670499
                2.73,          4880.212571
                2.74,          4887.270082
                2.75,          4472.983538
                2.76,          4226.254132
                2.77,          4737.918558
                2.78,          4649.276098
                2.79,          4252.562695
                 2.8,          4246.649623
                2.81,           3875.04042
                2.82,          3900.494155
                2.83,           3601.51421
                2.84,          4113.431631
                2.85,           4212.47129
                2.86,          3875.449836
                2.87,           3797.48885
                2.88,          3829.111848
                2.89,          4085.911947
                 2.9,          3772.846012
                2.91,          4317.322282
                2.92,          3917.120159
                2.93,           3646.86966
                2.94,          3440.776332
                2.95,          3641.521251
                2.96,          4147.404496
                2.97,          3765.936166
                2.98,          4054.601985
                2.99,          3667.051614
                   3,          3502.278612
                3.01,          3328.146544
                3.02,           3219.86991
                3.03,          3202.098669
                3.04,          3485.725233
                3.05,          3255.361065
                3.06,          3511.630229
                3.07,          3564.017414
                3.08,          3481.021617
                3.09,          3178.681678
                 3.1,          3582.860393
                3.11,          3461.632293
                3.12,          3282.297808
                3.13,          2946.948488
                3.14,          2533.691145
                3.15,          2985.876045
                3.16,          2300.809046
                3.17,          1685.891598
                3.18,          1843.136081
                3.19,          1934.543971
                 3.2,          2286.784558
                3.21,          2559.649913
                3.22,           2835.27627
                3.23,          3297.694128
                3.24,          3547.382446
                3.25,          3957.030707
                3.26,          4216.855405
                3.27,          4028.691031
                3.28,           3879.83716
                3.29,          4258.575702
                 3.3,          3993.351724
                3.31,          4074.317629
                3.32,          4627.360334
                3.33,          4929.177799
                3.34,          4723.779796
                3.35,          4191.419545
                3.36,          4221.937284
                3.37,          4221.991541
                3.38,          4047.254027
                3.39,          3678.904939
                 3.4,          3922.507542
                3.41,          4393.205062
                3.42,          4787.141038
                3.43,          4849.565868
                3.44,          4582.384977
                3.45,          4485.443409
                3.46,          4294.066765
                3.47,          5402.319627
                3.48,          5610.684549
                3.49,          5374.598901
                 3.5,          4515.303036
                3.51,          5041.445053
                3.52,          4735.110109
                3.53,          5284.175068
                3.54,          4556.402739
                3.55,          4750.866681
                3.56,          4311.027336
                3.57,          3856.347118
                3.58,          3555.686386
                3.59,          3195.267565
                 3.6,          2884.630803
                3.61,          3425.472679
                3.62,          3503.372634
                3.63,          3205.856166
                3.64,          2592.734097
                3.65,          2895.045592
                3.66,          2400.053786
                3.67,          2459.419807
                3.68,          3028.808746
                3.69,          3275.791019
                 3.7,          3274.446801
                3.71,          3283.879215
                3.72,          3448.367987
                3.73,          3666.158507
                3.74,          4358.853761
                3.75,          4329.096073
                3.76,          4847.689552
                3.77,          4975.853152
                3.78,          5153.891911
                3.79,          4594.306604
                 3.8,          4451.089575
                3.81,          4453.437918
                3.82,          4711.807413
                3.83,           4598.68827
                3.84,          3966.376332
                3.85,          3860.805988
                3.86,           3581.15318
                3.87,          3505.968338
                3.88,          4464.704563
                3.89,          4789.014047
                 3.9,           4659.49001
                3.91,          4734.511454
                3.92,          4423.831047
                3.93,          4850.144747
                3.94,           5144.57981
                3.95,          5235.790694
                3.96,          5151.198053
                3.97,          5120.647796
                3.98,          4750.158413
                3.99,          5154.375472
                   4,          5423.198619
                4.01,          5508.099961
                4.02,          5257.349907
                4.03,          4751.035772
                4.04,          4424.090403
                4.05,          4143.199459
                4.06,          4831.509902
                4.07,          4984.306921
                4.08,          5395.585772
                4.09,          5512.192192
                 4.1,          5696.589058
                4.11,          5821.084951
                4.12,          5775.732886
                4.13,          5860.119074
                4.14,          5704.200591
                4.15,          5570.377456
                4.16,          5700.097635
