------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.262,          9657.866865
               0.263,          9374.989596
               0.264,          9596.829717
               0.265,          9833.103824
               0.266,          9708.830778
               0.267,          9605.072768
               0.268,          9581.159524
               0.269,          9538.861816
                0.27,           9723.30549
               0.271,          9874.292488
               0.272,          9804.913539
               0.273,          9777.181991
               0.274,           9709.85733
               0.275,          9859.355244
               0.276,          9849.041672
               0.277,          9770.666118
               0.278,          9749.606828
               0.279,          10127.17583
                0.28,          9942.831398
               0.281,           9963.79735
               0.282,          9925.120675
               0.283,          9818.553616
               0.284,         10001.041775
               0.285,         10026.307683
               0.286,          10069.79554
               0.287,           10171.9792
               0.288,         10247.361584
               0.289,         10316.152079
                0.29,         10425.849592
               0.291,         10471.726801
               0.292,         10653.489871
               0.293,         10642.075086
               0.294,         10470.210741
               0.295,         10318.623926
               0.296,         10328.609479
               0.297,         10383.875431
               0.298,         10154.024927
               0.299,          10051.99793
                 0.3,         10130.934235
               0.301,          9987.336563
               0.302,         10188.287799
               0.303,         10204.985288
               0.304,         10319.394252
               0.305,         10340.034105
               0.306,         10678.917684
               0.307,         10756.671226
               0.308,         10683.246406
               0.309,         10771.384753
                0.31,         10789.509854
               0.311,         10792.566939
               0.312,         10809.492165
               0.313,         10852.123626
               0.314,         10913.956073
               0.315,         11082.644819
               0.316,         11271.496789
               0.317,         11287.601551
               0.318,          11368.51125
               0.319,         11321.535038
                0.32,         11477.395621
               0.321,          11571.51104
               0.322,         11616.199501
               0.323,         11688.690411
               0.324,         11765.399132
               0.325,         11725.876712
               0.326,         11789.389787
               0.327,         11646.439306
               0.328,         11576.520249
               0.329,          11435.68849
                0.33,         11561.002039
               0.331,         11677.807386
               0.332,         11853.317598
               0.333,         11722.498939
               0.334,         11695.946787
               0.335,         11735.084581
               0.336,         11481.593345
               0.337,         11566.194253
               0.338,         11737.339733
               0.339,         11447.704602
                0.34,         11571.768221
               0.341,         11602.976553
               0.342,         11538.638601
               0.343,         11492.675474
               0.344,         11299.662714
               0.345,         11281.053078
               0.346,         11483.637863
               0.347,         11528.837105
               0.348,         11820.524731
               0.349,         12039.585527
                0.35,         12110.658844
               0.351,         12278.248611
               0.352,         12186.457037
               0.353,         12291.780346
               0.354,         12266.291563
               0.355,          12214.58651
               0.356,         12063.289306
               0.357,         12046.953316
               0.358,         12103.618057
               0.359,         12099.182832
                0.36,         12178.178413
               0.361,         12153.718742
               0.362,         12142.017449
