------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,           777.981076
              0.0005,           824.799956
               0.001,           854.559514
              0.0015,           797.182052
               0.002,           764.679608
              0.0025,           495.098269
               0.003,            389.83959
              0.0035,           236.494561
               0.004,           161.955339
              0.0045,           105.106865
               0.005,            22.276128
              0.0055,            183.14188
               0.006,            250.81011
              0.0065,           346.656931
               0.007,            295.71268
              0.0075,           305.883767
               0.008,           163.610066
              0.0085,           387.313822
               0.009,           365.767503
              0.0095,           469.790115

