------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                2.63,           803.263984
                2.64,           625.826785
                2.65,           377.837957
                2.66,           818.549574
                2.67,           890.824419
                2.68,          1846.304477
                2.69,          1734.435529
                 2.7,          1057.422784
                2.71,           625.154105
                2.72,           807.095917
                2.73,           827.387834
                2.74,           542.927079
                2.75,          1315.473734
                2.76,          1415.630996
                2.77,          1831.302177
                2.78,          1391.409345
                2.79,          1242.503401
                 2.8,           1248.07661
                2.81,          1185.391029
                2.82,          1952.328901
                2.83,          1567.058194
                2.84,          1475.400936
                2.85,          1570.706786
                2.86,          1531.451355
                2.87,           846.557303
                2.88,           941.452139
                2.89,           467.175853
                 2.9,          1047.687945
                2.91,           1442.29551
                2.92,          1958.523352
                2.93,          1378.740028
                2.94,           956.782766
                2.95,           964.447712
                2.96,           983.646725
                2.97,          2188.219761
                2.98,          1693.497455
                2.99,          1936.373837
                   3,          1488.419787
                3.01,          1876.459777
                3.02,          1870.505505
                3.03,          1510.660407
                3.04,           1563.08702
                3.05,           2140.59146
                3.06,          1743.505029
                3.07,          2266.919186
                3.08,          1733.555874
                3.09,          1481.016714
                 3.1,          1025.647881
                3.11,           927.977653
                3.12,          1034.928958
                3.13,          1036.418538
                3.14,          1331.946703
                3.15,          1310.859743
                3.16,          1612.958575
                3.17,          1379.794542
                3.18,          1107.764383
                3.19,          1264.951986
                 3.2,          1195.824104
                3.21,          1627.251046
                3.22,          2391.331312
                3.23,          2546.447142
                3.24,          3031.965761
                3.25,          3441.393096
                3.26,          3562.813921
                3.27,          3544.781346
                3.28,          3039.806738
                3.29,          2757.692563
                 3.3,          2376.926023
                3.31,          2177.299793
                3.32,          1878.723422
                3.33,          1793.001739
                3.34,          1810.699945
                3.35,          1507.440393
                3.36,          1804.839274
                3.37,          1176.080222
                3.38,          1782.120959
                3.39,          1573.942896
                 3.4,          1072.706024
                3.41,          1598.162137
                3.42,          1479.454319
                3.43,           2563.37872
                3.44,          2531.411231
                3.45,          2739.305662
                3.46,          2396.304268
                3.47,          2632.327854
                3.48,          3399.892414
                3.49,          3595.439861
                 3.5,          2896.620013
                3.51,          3622.922691
                3.52,          3636.081399
                3.53,          3469.083427
                3.54,          3712.474509
                3.55,          2801.102797
                3.56,          2885.769482
                3.57,          3478.465577
                3.58,          3514.918627
                3.59,          3159.054144
                 3.6,          3101.583619
                3.61,          2671.461259
                3.62,          2888.373937
                3.63,          3287.488483
                3.64,          3353.634217
                3.65,           2981.72863
                3.66,          2772.025418
                3.67,          2926.209251
                3.68,          2831.532503
                3.69,          2340.921845
                 3.7,           2163.40286
                3.71,           2302.64513
                3.72,          2371.257121
                3.73,          1998.953912
                3.74,          2153.066834
                3.75,          1982.911162
                3.76,          2345.605765
                3.77,          1954.098094
                3.78,          2315.691349
                3.79,          2596.349293
                 3.8,          2102.968817
                3.81,          2401.147056
                3.82,          2198.720323
                3.83,          2263.823724
                3.84,          2357.181367
                3.85,          3055.381866
                3.86,           3044.03213
                3.87,          3039.534244
                3.88,          3248.665099
                3.89,          3583.088746
                 3.9,          3329.316938
                3.91,          3740.761957
                3.92,          4108.375029
                3.93,          3934.374836
                3.94,          3228.156623
                3.95,           2912.65821
                3.96,           3115.36877
                3.97,          3666.984541
                3.98,          4094.817491
                3.99,          3562.156976
                   4,           3495.36407
                4.01,          3478.368985
                4.02,          3170.212123
                4.03,          3074.156369
                4.04,          2777.690224
                4.05,          3739.506857
                4.06,          3930.574875
                4.07,          3893.019767
                4.08,          3373.582259
                4.09,          3817.268407
                 4.1,          4507.944748
                4.11,          4795.019795
                4.12,          4240.025695
                4.13,          4177.420289
                4.14,          3911.883941
                4.15,          4103.055364
                4.16,          4173.502358
                4.17,          4263.866493
                4.18,          4293.308678
                4.19,          4198.643111
                 4.2,          4677.006335
                4.21,          4872.468815
                4.22,           4770.86203
                4.23,          4328.902971
                4.24,          4212.822848
                4.25,          3904.309303
                4.26,           3352.19514
                4.27,          3295.939468
                4.28,          3200.167779
                4.29,          2938.417958
                 4.3,          2423.909765
                4.31,          2124.311003
                4.32,          2099.028096
                4.33,          2390.871424
                4.34,          2677.158925
                4.35,          2279.964287
                4.36,          2466.809116
                4.37,          2472.594995
                4.38,          2705.209157
                4.39,          2449.758833
                 4.4,          2712.951951
                4.41,          3252.721083
                4.42,          3481.862462
                4.43,          3705.266856
                4.44,          3131.061894
                4.45,          3875.261405
                4.46,           3872.60746
                4.47,          3960.958648
                4.48,          3408.462682
                4.49,          3266.872264
                 4.5,          3285.211635
                4.51,           3504.61749
                4.52,          3593.049857
                4.53,          2984.131118
                4.54,          3040.485988
                4.55,          3085.525265
                4.56,          3147.632207
                4.57,          3392.305192
                4.58,          3533.455926
                4.59,          4085.313502
                 4.6,          3572.539306
                4.61,           3244.79801
                4.62,          2858.583857
                4.63,          3157.941593
                4.64,          3080.134994
                4.65,          3382.814899
                4.66,          3469.250498
                4.67,          3391.463662
                4.68,          2551.804778
                4.69,          2994.939139
                 4.7,           3080.13803
                4.71,          3746.461605
                4.72,          3573.922861
                4.73,          3895.894721
                4.74,          3789.100475
                4.75,          4021.043093
                4.76,          3844.740104
                4.77,          3881.252307
                4.78,          3668.961928
                4.79,           3691.94123
                 4.8,          3820.952495
                4.81,           3179.09293
                4.82,          3543.152103
                4.83,          2843.348774
                4.84,          3362.990077
                4.85,          3480.983469
                4.86,          4296.018708
                4.87,          4825.405146
                4.88,          4519.175698
                4.89,          4554.491248
                 4.9,          4164.898808
                4.91,           3768.53435
                4.92,          3846.589916
                4.93,          4313.535574
                4.94,          4323.680368
                4.95,           4941.57477
                4.96,          5376.599234
                4.97,          5743.838101
                4.98,          5649.923321
                4.99,          5079.131524
                   5,          4357.173716
                5.01,          4445.954039
                5.02,          4476.082538
                5.03,          3983.830791
                5.04,          4379.578194
                5.05,          3889.154898
                5.06,          4362.078882
                5.07,          3730.753174
                5.08,          4018.074043
                5.09,          3877.052398
                 5.1,          4059.764418
                5.11,          3936.021256
                5.12,          3607.491706
                5.13,          3047.769838
                5.14,          2256.638762
                5.15,          1835.467515
                5.16,          2507.945585
                5.17,          2407.552438
                5.18,          2302.722384
                5.19,          1942.747441
                 5.2,          2764.171904
                5.21,          3011.843179
                5.22,          2382.129568
                5.23,          2643.235802
                5.24,          2795.883358
                5.25,          2637.398741
                5.26,          3032.141565
                5.27,          2882.131675
                5.28,           2297.95072
                5.29,          2953.439498
                 5.3,          3089.406763
                5.31,           3457.05305
                5.32,          2634.002833
                5.33,          2186.423116
                5.34,          2651.309348
                5.35,           1849.77355
                5.36,          2273.015092
                5.37,          3131.470836
                5.38,          2890.785057
                5.39,          2239.317552
                 5.4,          2115.680001
                5.41,          2028.446543
                5.42,          1818.434946
                5.43,          1892.565799
                5.44,          1811.373125
                5.45,          1554.583951
                5.46,          1918.814435
                5.47,          1859.615668
                5.48,          2805.671577
                5.49,           3024.08423
                 5.5,          3162.854312
                5.51,          2966.925291
                5.52,          3136.376754
                5.53,          2942.415493
                5.54,          3299.195036
                5.55,          3587.462487
                5.56,          3793.901575
                5.57,          3282.204804
                5.58,          2794.044766
                5.59,          2519.762564
                 5.6,          2723.707795
                5.61,           3147.27114
                5.62,          3131.483913
                5.63,          2912.149739
                5.64,          3139.862025
                5.65,          2382.599553
                5.66,           2020.83709
                5.67,          1752.956553
                5.68,          1739.559718
                5.69,          2461.203998
                 5.7,          2574.791441
                5.71,          2779.108061
                5.72,          2903.450908
                5.73,          3126.696133
                5.74,          3076.550866
                5.75,          2816.267789
                5.76,          3286.550476
                5.77,          3405.146823
                5.78,           3758.54886
                5.79,          3197.420206
                 5.8,          3705.012237
